Market,VehicleAge,median_price,median_price_index,median_make_price_index,median_mileage,listing_count
Pakistan,1,7159999.0,2.347540655737705,1.6887323943661972,5000.0,1785
Pakistan,2,5085000.0,1.6672131147540983,1.6,21500.0,3491
Pakistan,3,4750000.0,1.5573770491803278,1.408450704225352,36000.0,4282
Pakistan,4,4300000.0,1.4098360655737705,1.4381270903010033,43000.0,3334
Pakistan,5,4150000.0,1.360655737704918,1.4375,62000.0,2644
Pakistan,6,4000000.0,1.3114754098360655,1.35,71500.0,3471
Pakistan,7,3695000.0,1.2114754098360656,1.1875,80112.0,2740
Pakistan,8,3400000.0,1.1147540983606556,1.0375,88000.0,2128
Pakistan,9,3190000.0,1.0459016393442624,0.97375,95000.0,2214
Pakistan,10,3025000.0,0.9918032786885246,0.9375,100000.0,2149
Pakistan,11,2765000.0,0.9065573770491804,0.8732394366197183,106000.0,1841
Pakistan,12,2480000.0,0.8131147540983606,0.7875,110000.0,1747
Pakistan,13,2350000.0,0.7704918032786885,0.725,112000.0,1497
Pakistan,14,2280000.0,0.7475409836065574,0.6689552027886382,120326.0,1342
Pakistan,15,2150000.0,0.7049180327868853,0.615,123456.0,923
Pakistan,16,1550000.0,0.5081967213114754,0.5925,106000.0,1218
Pakistan,17,1800000.0,0.5901639344262295,0.5819391304347826,123456.0,1898
Pakistan,18,1600000.0,0.5245901639344263,0.5267136150234741,120000.0,1616
Pakistan,19,1570000.0,0.5147540983606558,0.49749975,125000.0,1441
Pakistan,20,1525000.0,0.5,0.47125,128000.0,981
Pakistan,21,1500000.0,0.4918032786885246,0.4732394366197183,143798.0,742
Pakistan,22,1350000.0,0.4426229508196721,0.43125,136000.0,514
Pakistan,23,1250000.0,0.4098360655737705,0.38028169014084506,150000.0,399
Pakistan,24,1172500.0,0.3844262295081967,0.36789297658862874,123456.0,478
Pakistan,25,1200000.0,0.39344262295081966,0.36789297658862874,123456.0,343
Pakistan,26,1150000.0,0.3770491803278688,0.36789297658862874,136000.0,352
Pakistan,27,1072500.0,0.3516393442622951,0.37144648829431437,125203.5,306
Pakistan,28,1192500.0,0.3909836065573771,0.38389084507042254,129000.0,430
Pakistan,29,990000.0,0.32459016393442625,0.3380281690140845,120000.0,287
Pakistan,30,1235000.0,0.40491803278688526,0.36789297658862874,123456.0,266
Pakistan,31,850000.0,0.2786885245901639,0.3879598662207358,120000.0,251
Pakistan,32,902500.0,0.2959016393442623,0.3877299331103679,120000.0,216
Pakistan,33,600000.0,0.19672131147540983,0.325,100000.0,141
Pakistan,34,680000.0,0.22295081967213115,0.3125,100000.0,141
US,1,38968.5,2.165157239693299,1.671607195960751,650.0,316
US,2,24990.0,1.388487609734415,1.3603970662475287,15004.5,28952
US,3,20977.0,1.165518390932326,1.2049340381959328,25717.0,38795
US,4,21695.0,1.2054117124124903,1.1634355275422765,32369.0,46526
US,5,19397.0,1.0777308589843315,1.0274938786092347,38705.0,45624
US,6,16500.0,0.9167685298366485,0.9048435490784398,59046.0,21429
US,7,14876.0,0.8265362818090899,0.792699861138663,73240.0,14757
US,8,14000.0,0.777864207134126,0.7336401841104663,83274.0,11643
US,9,12488.0,0.6938548727636404,0.6548943617952244,90268.0,8257
US,10,10900.0,0.6056228469829981,0.5866336633663367,97301.5,5548
US,11,10580.0,0.5878430936770752,0.5607839134428907,106527.0,7081
US,12,9796.0,0.5442826980775641,0.5238989254412618,114951.5,6170
US,13,8291.5,0.46069007667518613,0.440908288722866,117869.0,4392
US,14,7500.0,0.4167129681075675,0.4096137084670284,124010.5,3286
US,15,6995.0,0.388654294921658,0.374359294911864,129317.5,2414
US,16,5997.0,0.333203689298811,0.3333148096693526,132714.0,1731
US,17,5684.0,0.31581286809645515,0.3129473300189235,131797.0,1052
US,18,4995.0,0.27753083675963997,0.2881844380403458,137911.0,747
US,19,4990.0,0.2772530281142349,0.2662771285475793,138827.0,549
US,20,4959.5,0.2755583953772641,0.24984892353000085,142263.0,358
US,21,4000.0,0.222246916324036,0.23281809448956423,131269.0,205
US,22,4416.5,0.24538837648627626,0.24412598597735718,141120.0,168
