feature,importance
Model,0.3034217061056802
MakeModel,0.2581097072767598
LogMileage,0.11846347823816442
Mileage,0.11097460360181999
Make,0.08194515759409089
Year,0.04157722418010137
VehicleAge,0.04095946934031683
City,0.016560730837452672
MileagePerYear,0.016176683941554332
State,0.011811238884059454
